Título, Ano, Proposta, Mercado
Anglais Primaire,1989,"Educative message broadcasting
Training",Education
Barre l'Intrus,1989,"Educative message broadcasting
Training","Entertainment
Education"
Calcul Mental,1989,Training,Education
Alpine Tram Ride,1989,Educative message broadcasting,"Entertainment
Education"
Arcade Trivia Quiz,1989,Educative message broadcasting,"Entertainment
Education"
Le Labyrinthe d'Errare,1989,Educative message broadcasting,Education
Mémorise,1989,"Educative message broadcasting
Training","Entertainment
Education"
Where in the World is Carmen Sandiego?,1989,Educative message broadcasting,"Entertainment
Education"
Intifada,1989,Informative message broadcasting,State & Governement
Number Munchers,1990,Training,Education
Biologica!,1990,Educative message broadcasting,"Entertainment
Education
Ecology"
Adventures in the Magic Kingdom,1990,"Marketing & Communication message broadcasting
Storytelling
Licensed title","Entertainment
Advertising"
Super Solvers: Treasure Mountain!,1990,Educative message broadcasting,"Entertainment
Education"
Yo! Noid,1990,Marketing & Communication message broadcasting,"Entertainment
Advertising"
Les 4 saisons de l'écrit,1990,"Educative message broadcasting
Training","Entertainment
Education
Culture & Art"
Super Solvers: OutNumbered!,1990,Educative message broadcasting,"Entertainment
Education"
Super Solvers: Challenge of the Ancient Empires!,1990,Educative message broadcasting,"Entertainment
Education"
Rody & Mastico II,1990,"Educative message broadcasting
Storytelling","Entertainment
Education"
Miracle Piano Teaching System,1990,"Educative message broadcasting
Training","Entertainment
Culture & Art"
Fisher-Price: I Can Remember,1990,Marketing & Communication message broadcasting,"Entertainment
Advertising"
Pesterminator: The Western Exterminator,1990,Marketing & Communication message broadcasting,"Entertainment
Advertising"
Balance of the Planet,1990,Educative message broadcasting,"Entertainment
Ecology"
Big Bird's Hide and Speak,1990,"Educative message broadcasting
Licensed title","Entertainment
Education"
Designasaurus II,1990,Educative message broadcasting,"Entertainment
Education
Ecology"
Fisher-Price: Perfect Fit,1990,"Educative message broadcasting
Licensed title","Entertainment
Education"
Fun School 3: for 5 to 7 Year Olds,1990,Educative message broadcasting,"Entertainment
Education"
Fun School 3 for the Under 5s,1990,Educative message broadcasting,"Entertainment
Education"
Fun School 4: for 5 to 7 Year Olds,1990,"Educative message broadcasting
Training","Entertainment
Education"
Galleons of Glory: The Secret Voyage of Magellan,1990,Educative message broadcasting,"Entertainment
Education"
Gumboots Australia,1990,"Educative message broadcasting
Informative message broadcasting","Entertainment
Education
Humanitarian & Caritative"
Hoofdrekenen,1990,Educative message broadcasting,"Entertainment
Education"
Nephi's Quest,1990,Subjective message broadcasting,"Entertainment
Religious"
The Second Kids' World Almanac Adventure,1990,"Educative message broadcasting
Licensed title","Entertainment
Education"
Sooty's Fun With Numbers,1990,"Educative message broadcasting
Licensed title","Entertainment
Education"
Thuis In Het Milieu,1990,Educative message broadcasting,"Entertainment
Ecology"
Where in the World is Carmen Sandiego? (Deluxe Edition),1990,Educative message broadcasting,"Entertainment
Education"
Yogi Bear's Math Adventures,1990,"Educative message broadcasting
Licensed title","Entertainment
Education"
46 Okunen Monogatari: The Shinkaron,1990,Educative message broadcasting,"Entertainment
Ecology"
Big Business,1990,Training,"Entertainment
Education"
Rody Noel,1990,"Educative message broadcasting
Training",Education
Flight Assignment: Airline Transport Pilot,1990,,"Entertainment
State & Governement
Military & Defence
Education
Corporate"
Ford Simulator II,1990,"Marketing & Communication message broadcasting
Licensed title","Entertainment
Advertising"
Mickey's Memory Challenge,1990,"Educative message broadcasting
Licensed title","Entertainment
Education"
Where in North Dakota is Carmen Sandiego?,1990,Educative message broadcasting,"Entertainment
Education"
Denver : Le jeu des sons N°1,1990,,Education
KZ Manager,1990,Subjective message broadcasting,Politics
A la conquête de l'orthographe (CM1/CM2),1991,"Educative message broadcasting
Training",Education
Exodus: Journey to the Promised Land,1991,Subjective message broadcasting,"Entertainment
Religious"
Bible Adventures,1991,Subjective message broadcasting,"Entertainment
Religious"
Castle of Dr. Brain,1991,"Educative message broadcasting
Training","Entertainment
Education"
M.C. Kids / McDonald Land,1991,Marketing & Communication message broadcasting,"Entertainment
Advertising"
Adibou - Accompagnement Scolaire 4-7 Ans,1991,Educative message broadcasting,Education
Super Munchers: The Challenge Continues...,1991,Educative message broadcasting,"Entertainment
Education"
Rody & Mastico III,1991,"Educative message broadcasting
Storytelling","Entertainment
Education"
The Treehouse,1991,"Educative message broadcasting
Training","Entertainment
Education"
Operation Neptune,1991,Educative message broadcasting,"Entertainment
Education"
Guldkorn Expressen,1991,Marketing & Communication message broadcasting,"Entertainment
Advertising"
"Daffy Duck, P.I.: The Case of the Missing Letters",1991,"Educative message broadcasting
Licensed title","Entertainment
Education"
Das Erbe,1991,Educative message broadcasting,"Entertainment
Ecology"
The Aeronautics Quiz MK 2,1991,"Educative message broadcasting
Training","Entertainment
Education"
American Sign Language Tutor,1991,Educative message broadcasting,"Entertainment
Education"
Animal Quest,1991,Educative message broadcasting,"Entertainment
Education
Ecology"
